PASS macos lobby: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 0 <= 2 (group 0 <= 3))
PASS macos lobby: erased 16x16 logical px element at 56,24 is caught (blocks 46 <= 2 (group 46 <= 3); core 153 <= 2 (group 153 <= 3); density 4 <= 2 (group 4 <= 3))
PASS macos lobby: erased 24x24 logical px element at 48,24 is caught (blocks 89 <= 2 (group 88 <= 3); core 272 <= 2 (group 272 <= 3); density 9 <= 2 (group 9 <= 3))
PASS macos lobby: 80x14 logical px strip at 352,120 moved 3 px is caught (blocks 4 <= 2 (group 2 <= 3); core 15 <= 2 (group 3 <= 3); density 8 <= 2 (group 5 <= 3))
PASS macos lobby: 80x14 logical px strip at 352,120 moved 4 px is caught (blocks 16 <= 2 (group 4 <= 3); core 115 <= 2 (group 38 <= 3); density 21 <= 2 (group 21 <= 3))
PASS macos lobby: 40x16 logical px recolour at 32,24 is caught (blocks 47 <= 2 (group 20 <= 3); core 219 <= 2 (group 219 <= 3); density 10 <= 2 (group 10 <= 3))
PASS macos results: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 1 <= 2 (group 1 <= 3))
PASS macos results: erased 16x16 logical px element at 768,560 is caught (blocks 11 <= 2 (group 4 <= 3); core 8 <= 2 (group 8 <= 3); density 3 <= 2 (group 2 <= 3))
PASS macos results: erased 24x24 logical px element at 768,552 is caught (blocks 21 <= 2 (group 10 <= 3); core 20 <= 2 (group 12 <= 3); density 7 <= 2 (group 6 <= 3))
PASS macos results: 80x14 logical px strip at 64,536 moved 3 px is caught (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 5 <= 2 (group 1 <= 3))
PASS macos results: 80x14 logical px strip at 64,536 moved 4 px is caught (blocks 1 <= 2 (group 1 <= 3); core 9 <= 2 (group 4 <= 3); density 3 <= 2 (group 1 <= 3))
PASS macos results: 40x16 logical px recolour at 352,496 is caught (blocks 94 <= 2 (group 94 <= 3); core 527 <= 2 (group 527 <= 3); density 11 <= 2 (group 10 <= 3))
PASS macos home: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 0 <= 2 (group 0 <= 3))
PASS macos home: erased 16x16 logical px element at 752,208 is caught (blocks 7 <= 2 (group 4 <= 3); core 37 <= 2 (group 37 <= 3); density 2 <= 2 (group 2 <= 3))
PASS macos home: erased 24x24 logical px element at 216,552 is caught (blocks 51 <= 2 (group 41 <= 3); core 132 <= 2 (group 132 <= 3); density 9 <= 2 (group 9 <= 3))
PASS macos home: 80x14 logical px strip at 744,208 moved 3 px is caught (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 4 <= 2 (group 2 <= 3))
PASS macos home: 80x14 logical px strip at 744,208 moved 4 px is caught (blocks 6 <= 2 (group 2 <= 3); core 18 <= 2 (group 12 <= 3); density 8 <= 2 (group 5 <= 3))
PASS macos home: 40x16 logical px recolour at 752,208 is caught (blocks 97 <= 2 (group 96 <= 3); core 520 <= 2 (group 520 <= 3); density 10 <= 2 (group 10 <= 3))
PASS: gate reproduces verdicts and catches every injected defect
